Analyzing 100 frames

Camera,Step,Vx_m_per_frame,Vy_m_per_frame,Vz_m_per_frame,Magnitude_m_per_frame
D435,1,0.0,0.0,0.0,0.0
D435,2,0.12528013315474595,-0.008499345492021436,0.10371924569180657,0.16286507472119663
D435,3,0.012680359985418388,-0.05306084417645376,-0.05746520749487316,0.07923695341509877
D435,4,-0.014787880719977053,-0.07255628630617725,-0.0575422746001526,0.0937774464617778
D435,5,-0.0786823746016374,-0.264262396166389,-0.056258121219531,0.2814080778934844
D435,6,-0.17541970966254294,-0.05638672432347547,-0.18654802954531458,0.26220546246266885
D435,7,-0.12777598626605635,0.01757556759758344,-0.0970033070768721,0.1613853922339026
D435,8,0.0377574659920944,-0.20575464289347162,0.158952026504664,0.26272865477580404
D435,9,0.04869898875876888,-0.22011542315495325,0.26042048421243513,0.34444334746696736
D435,10,-0.016953026344120548,-0.13173328321241684,0.09722946738451677,0.16460447240589812
D435,11,-0.029678413451528107,-0.10781631748570297,-0.015163581433388362,0.1128499036023724
D435,12,-0.08255502420394856,-0.08981642245289767,-0.12350362258884595,0.173595698553046
D435,13,-0.24641625569858755,-0.12217697622914869,-0.14544177458764374,0.3111293852856278
D435,14,-0.39870684679463225,0.09202176177912369,-0.3648071618463987,0.5481965155455447
D435,15,-0.4808759211060972,0.5526379441002458,-0.41814409054666446,0.8435015288771449
D435,16,-0.3377080061350811,0.8029681189045828,-0.09675088337803639,0.8764503584455463
D435,17,-0.11198792562580528,0.5107026680903225,0.059679830007852264,0.5262320712293305
D435,18,-0.020434574146725892,0.8089045484863467,0.517278874095197,0.9603757462408415
D435,19,-0.0017341856200886463,0.3154210116986431,0.32987751689985445,0.45641274979646906
D435,20,-0.09028617885277412,0.11278299644629741,0.1287143419857768,0.19349155075111718
D435,21,-0.14780568887170475,0.006116794484532839,0.21866374748295814,0.264003354715231
D435,22,-0.22866291028098606,-0.3418392453686092,1.045863707295291,1.123820132605659
D435,23,0.5023454468918079,-0.24551954249421692,0.8277758701095965,0.9989212606082621
D435,24,0.8651079977055407,-0.2219420983130187,0.3899129232092964,0.9745266699189378
D435,25,0.8296734422366693,-0.636789369996751,0.0739566536976608,1.0484885832091158
D435,26,0.23602165036947098,-0.541874510593044,-0.11091939370860726,0.6013628826043929
D435,27,0.20069338187168007,-0.058121183657061926,-0.15478543612526097,0.2600277615049539
D435,28,0.4758074888784698,0.30924333391840053,-0.45396248681886386,0.726709120270669
D435,29,0.25086078613042906,0.5788142515266473,-0.8207202806157027,1.035151607641242
D435,30,-0.20342572125179803,0.34305448536477945,-0.8393709382112295,0.9293072559220161
D435,31,-0.5124875654191285,0.37513100561023416,-0.28685154542424596,0.6968863502692884
D435,32,-0.27232974949074484,0.1894897012158805,0.12877328699118584,0.35588256316809036
D435,33,-0.09768645320572866,0.06316369022207025,0.09649745178401425,0.15114249271198626
D435,34,-0.08361260214926514,0.06907597235146645,0.3263406434622328,0.3438906407127359
D435,35,0.05288124304066488,-0.08195592949300212,0.41399443652452533,0.4253288065930252
D435,36,0.1457855329949158,-0.2690433585804004,0.43463221905464006,0.5315476613316948
D435,37,0.19968494335792952,-0.5456878320531017,0.37790155897632116,0.6931514083743952
D435,38,0.06888219246677463,-0.6757975481704944,0.1651770448819886,0.6990926538794611
D435,39,-0.1355028231916573,-0.5990230698468871,0.0075128226352685346,0.6142036273139774
D435,40,-0.16550517825167166,-0.4721813001244959,-0.17406953860231256,0.5297615958944163
D435,41,-0.12395316033076331,-0.23199645195832497,-0.19150374958608352,0.32536199191479737
D435,42,-0.12448210442800822,-0.12411065646843622,-0.15742638908205564,0.2359710095568235
D435,43,-0.07444747479341529,-0.06704459214853897,-0.15323595075748825,0.183081021528807
D435,44,-0.04250283194891935,-0.004193387358656153,-0.09362656820876136,0.10290777179478555
D435,45,0.011337401102037514,0.09684318850152884,0.07505402927762,0.12304571156158581
D435,46,0.0120944946451228,0.07192227260802131,0.005488086710117301,0.07313828815033342
D435,47,-0.05954834827689093,-0.016472969017577332,-0.10956607350441777,0.12578588535259208
D435,48,-0.09226155571081895,-0.015170302889186305,-0.08956064900121416,0.12947371394012333
D435,49,-0.09998943954622758,0.01218376780152508,-0.04022943558268505,0.10846538482811732
D435,50,-0.007126600924972026,0.047304485067898305,0.019395238874822696,0.05162051955660907
D435,51,0.05914382233495169,0.050358333058792226,-0.014883750794455933,0.07909158910124416
D435,52,0.007067397938268438,0.028227023602551915,-0.02632654939827879,0.039240287693859704
D435,53,0.01077780705747955,0.048866283982122116,0.019685311271045364,0.05377347222402144
D435,54,0.03209360924422244,0.05162573324260855,0.02113688590806323,0.064358247591496
